9461|4782|1463|536|1659|
7127|2450|325|30|666|
8431|4176|1399|2292|984|
8388|4789|377|1632|34|
4|2795|2956|673|308|
4827|3657|1674|1560|858|
9756|3834|587|2140|311|
5385|3837|2037|1464|724|
5049|1585|1675|700|1717|
6118|3453|562|1812|1132|
9108|4639|603|2385|762|
6139|4726|2582|647|1113|
2531|2472|3127|2442|1707|
7751|565|380|1011|1862|
3011|637|1869|1085|1685|
4214|1749|3224|885|567|
606|2420|591|1822|297|
9903|1585|2432|1162|447|
2766|154|1746|786|1220|
7237|2416|1197|1833|1374|
8853|4922|619|1171|1973|
656|3837|2234|1911|1874|
5405|1636|566|1707|1996|
6644|4850|3175|59|954|
8190|3778|1596|762|1196|
8552|2853|2258|1843|1598|
2626|1408|1565|2379|143|
7770|1892|2178|2280|1410|
9799|3521|3181|938|54|
7344|1244|234|1770|1831|
6315|4061|2658|2112|1087|
1218|4972|2546|629|800|
2528|330|1473|2465|324|
1419|4533|1741|1393|1389|
5386|452|899|1319|1386|
3973|375|2080|488|1357|
36|1153|821|1038|1846|
2744|1834|175|1891|1686|
6307|535|1406|951|243|
8331|4186|2909|1531|1784|
3408|2748|1386|774|761|
5502|1842|81|1204|699|
8717|3643|2463|2380|1761|
9984|4950|2649|733|1267|
9769|4014|729|1433|1149|
8410|4236|2427|644|940|
8235|4443|553|967|529|
4435|3850|2979|1756|1803|
1420|1768|2621|2245|933|
5703|3890|2132|1071|481|
8010|4706|1111|592|1399|
493|1314|2112|1197|1682|
4404|550|468|2105|328|
6808|2554|2040|1102|78|
4614|333|22|755|1618|
1486|2821|985|2495|1658|
8189|3172|2258|724|1124|
5601|2198|2539|853|1025|
6538|1051|546|67|1485|
8271|4117|3285|290|880|
4222|2339|1626|560|626|
7614|3843|772|2168|1579|
5604|4729|2795|461|1521|
2720|4800|602|2440|370|
6102|397|2480|624|260|
5906|4798|231|577|937|
7325|2518|1284|1757|888|
2879|4827|2957|454|1214|
7795|4720|3|62|891|
8263|4090|3020|752|671|
2428|2488|40|772|556|
590|3549|904|2357|1129|
5112|2714|486|1425|246|
2578|1775|2249|1409|592|
1660|2826|1282|751|1214|
8365|1993|1621|1977|809|
9613|4865|1491|1731|548|
4950|4076|2351|1343|636|
615|4187|2117|979|83|
598|2550|845|954|576|
1261|2645|2393|759|202|
6022|3805|3114|894|1526|
9482|2595|845|2286|265|
9729|4689|2823|422|805|
9293|2789|2275|2472|880|
85|3183|2497|2392|288|
473|1572|675|2114|343|
2216|2226|1987|1443|1584|
9617|1731|722|929|1654|
3882|2984|2948|1550|693|
3844|2555|1015|569|386|
4550|3324|1276|1553|114|
3224|3301|2640|1892|421|
2166|4356|3173|2402|1379|
8450|753|1040|222|1164|
2348|4805|1744|1121|463|
3383|137|1289|2350|1568|
8303|4899|1447|1173|36|
8377|2371|986|798|1510|
5497|4589|2590|57|73|
3718|3420|3149|2096|1832|
1829|3110|3326|817|1463|
5373|1858|1483|2154|182|
5848|2660|1208|2249|778|
2311|927|2549|830|702|
6651|4127|341|2416|96|
3758|800|822|1069|1684|
