810|155|276|158|33|
196|306|284|238|26|
895|83|138|97|166|
465|312|278|154|168|
322|303|189|182|121|
660|253|282|8|159|
372|472|218|27|120|
199|55|312|182|79|
567|82|216|197|57|
126|487|146|96|39|
146|385|184|131|23|
782|100|197|21|117|
241|198|182|168|111|
648|267|57|213|13|
834|304|95|104|18|
439|3|204|139|177|
705|378|249|178|36|
649|393|154|73|61|
390|377|258|9|64|
905|367|235|34|153|
355|258|212|7|140|
90|60|14|134|78|
598|352|64|173|9|
249|441|257|2|2|
363|169|156|152|174|
899|63|312|52|99|
432|379|264|202|149|
85|275|114|163|187|
462|498|43|165|60|
225|295|103|72|153|
96|117|2|168|27|
497|425|238|81|191|
149|458|312|94|9|
691|291|302|151|170|
51|199|11|214|24|
681|206|183|69|112|
566|332|87|217|81|
37|91|158|1|119|
522|404|138|70|58|
160|188|41|135|185|
842|325|159|101|106|
490|117|104|127|13|
391|328|7|65|87|
195|174|90|105|12|
554|171|251|192|69|
723|81|223|137|39|
873|65|195|89|135|
886|292|175|50|51|
744|328|169|157|145|
40|5|30|186|33|
690|101|98|236|67|
590|387|273|20|26|
571|255|197|59|68|
511|62|191|111|68|
751|36|244|60|40|
368|378|254|51|128|
143|222|82|23|23|
512|35|149|190|181|
597|247|124|161|172|
36|433|40|4|143|
941|128|275|200|13|
61|28|30|206|17|
166|379|313|111|140|
800|232|117|122|97|
29|7|268|234|23|
600|350|212|129|59|
694|236|223|225|31|
136|496|130|123|18|
142|386|165|228|135|
478|190|37|102|61|
549|325|167|212|83|
147|386|142|193|85|
72|12|177|224|135|
527|443|207|180|85|
315|345|232|122|18|
536|17|83|0|55|
30|41|80|9|54|
599|378|319|145|14|
517|409|78|201|16|
163|371|226|25|151|
987|247|157|214|182|
154|5|118|94|136|
728|28|6|219|92|
706|495|11|228|167|
119|39|54|221|101|
956|244|161|203|170|
318|472|229|162|153|
436|314|204|179|132|
722|242|245|190|197|
829|136|243|54|124|
86|434|191|199|143|
91|93|142|220|168|
170|269|258|8|114|
513|269|228|65|121|
107|70|275|140|27|
854|91|244|157|161|
34|67|307|30|24|
104|4|274|28|57|
686|274|5|201|80|
670|400|98|118|195|
226|381|305|57|95|
604|70|312|27|196|
789|189|271|133|8|
33|345|43|82|56|
504|350|107|3|28|
534|45|226|83|90|
202|208|220|227|107|
659|263|332|80|176|
12|6|104|149|165|
618|29|138|226|160|
467|383|101|157|194|
269|120|218|155|11|
306|14|328|29|80|
374|497|229|215|126|
205|127|174|136|97|
652|141|33|248|107|
574|165|244|153|144|
961|224|301|147|51|
220|88|184|4|15|
840|362|14|119|87|
972|89|170|206|142|
798|79|297|89|57|
741|39|32|141|99|
59|494|227|59|170|
484|250|158|135|16|
749|67|94|223|166|
942|338|113|15|52|
150|299|143|13|99|
871|376|186|178|168|
575|116|34|27|95|
112|170|177|66|165|
883|399|289|3|173|
137|380|77|38|188|
242|432|106|143|153|
448|123|110|145|148|
693|447|192|166|62|
777|404|131|184|173|
487|94|309|165|194|
867|90|89|72|142|
673|117|53|79|156|
687|56|120|133|6|
732|202|212|157|25|
544|313|209|208|1|
125|251|210|130|19|
70|298|157|115|51|
4|463|278|245|158|
65|481|217|219|84|
584|11|62|106|180|
317|43|282|175|131|
580|384|243|76|100|
970|469|269|15|23|
695|25|10|223|24|
447|235|314|92|52|
308|296|253|189|179|
428|167|196|231|75|
300|342|281|213|58|
122|126|316|169|10|
488|476|57|155|10|
986|7|325|167|37|
565|499|241|192|74|
451|221|150|177|171|
171|59|214|22|82|
356|312|86|50|148|
874|54|195|19|189|
216|29|229|40|58|
463|250|130|33|6|
345|231|79|35|44|
66|357|36|94|50|
