0|507|272|2|
100|978|413|3|
101|467|383|3|
102|889|226|4|
103|508|493|5|
104|518|401|6|
105|967|379|6|
106|819|432|5|
10|725|296|3|
107|801|350|3|
108|985|358|4|
109|733|484|1|
110|950|320|3|
111|341|358|4|
112|815|467|3|
113|942|338|2|
114|880|452|6|
115|255|296|1|
116|935|326|3|
11|706|495|3|
117|800|414|3|
118|558|341|5|
119|105|398|1|
120|995|492|6|
121|893|384|2|
122|286|2|1|
12|252|8|1|
123|853|251|1|
124|839|466|3|
126|415|464|2|
127|560|464|3|
128|812|401|2|
129|401|407|2|
130|703|496|6|
131|897|404|4|
132|417|443|1|
134|373|488|3|
135|916|369|5|
136|657|23|1|
137|291|238|1|
138|958|404|4|
13|954|408|6|
140|342|173|1|
142|147|386|2|
143|150|299|1|
144|960|480|2|
145|441|374|1|
146|858|487|3|
147|361|486|1|
14|840|398|6|
148|863|432|3|
149|779|314|4|
150|742|470|5|
151|952|480|5|
152|865|468|2|
153|962|436|4|
154|649|393|2|
155|213|478|2|
156|529|169|2|
157|987|298|4|
158|740|250|3|
159|879|483|8|
15|988|366|5|
160|928|437|3|
161|956|244|2|
162|866|387|1|
163|891|312|4|
16|48|399|1|
164|963|408|4|
165|781|395|3|
166|792|472|2|
167|930|371|2|
168|757|322|1|
169|856|455|2|
170|972|371|3|
172|639|225|2|
173|369|155|1|
174|526|127|2|
175|886|395|5|
176|532|490|2|
177|340|258|4|
178|803|480|2|
17|901|390|2|
179|885|392|3|
180|870|427|3|
181|735|478|3|
182|710|271|4|
183|948|470|9|
184|992|385|7|
185|698|358|2|
18|617|232|3|
186|871|376|3|
187|969|360|5|
188|857|325|2|
189|946|349|4|
190|761|371|3|
191|796|434|7|
192|982|447|6|
194|999|479|1|
195|913|271|4|
196|977|284|4|
197|782|444|4|
199|533|372|3|
19|980|451|2|
200|887|197|5|
201|894|416|3|
202|910|376|3|
203|971|423|4|
204|932|445|8|
20|538|82|1|
205|654|168|2|
206|843|298|2|
207|945|443|4|
208|405|193|1|
209|890|466|6|
210|976|322|5|
211|804|320|4|
212|732|405|6|
213|828|435|6|
214|881|83|2|
215|209|219|2|
216|567|221|3|
217|923|481|3|
218|912|483|4|
21|936|90|1|
219|816|427|4|
220|623|208|3|
221|630|326|3|
222|619|434|3|
223|826|468|5|
224|984|233|2|
225|642|332|2|
22|616|439|5|
226|926|371|4|
227|844|494|2|
228|603|459|3|
229|989|497|10|
230|422|262|1|
232|330|345|3|
23|304|222|2|
233|509|180|2|
234|973|484|6|
235|918|377|3|
236|747|497|4|
237|778|280|1|
238|497|425|1|
239|915|229|3|
241|633|499|3|
242|453|459|1|
243|829|479|4|
244|854|473|8|
245|722|443|5|
246|768|401|5|
247|929|414|5|
248|505|306|1|
24|927|455|4|
249|872|397|5|
250|420|66|2|
251|736|399|3|
252|663|121|2|
253|990|296|7|
254|933|448|4|
256|884|477|3|
25|738|477|2|
257|669|441|4|
258|559|459|5|
259|720|379|3|
260|900|329|3|
261|849|377|4|
262|814|106|1|
263|783|493|5|
264|661|475|5|
26|531|215|2|
265|771|476|2|
266|959|425|3|
267|662|391|1|
268|29|7|1|
269|970|486|5|
270|32|468|1|
271|789|251|3|
272|692|458|3|
273|590|454|3|
274|921|326|3|
275|941|435|5|
276|810|462|5|
277|937|496|2|
278|607|463|3|
279|499|345|2|
280|440|478|4|
281|766|446|2|
2|818|448|6|
282|660|464|5|
284|833|306|5|
285|715|458|4|
286|138|348|1|
287|572|415|2|
288|876|458|3|
289|907|410|6|
28|991|495|4|
290|120|477|1|
291|906|385|4|
292|888|283|1|
293|730|463|3|
294|830|417|6|
29|582|417|2|
295|898|446|4|
296|609|339|3|
297|798|454|4|
298|943|279|3|
299|473|256|2|
301|961|356|5|
302|786|291|3|
303|525|445|2|
305|596|452|3|
306|520|85|1|
307|634|172|3|
30|769|172|3|
309|767|392|4|
310|605|246|2|
311|326|342|4|
312|979|458|6|
313|848|489|6|
314|864|458|3|
315|896|321|5|
31|622|369|1|
316|755|177|4|
317|111|434|1|
319|764|473|4|
320|721|461|3|
321|667|188|2|
322|752|321|4|
323|579|434|3|
324|966|128|1|
325|986|360|5|
328|375|404|2|
32|847|229|4|
329|672|451|3|
330|475|272|1|
331|54|316|1|
332|981|304|3|
33|652|141|2|
34|908|480|3|
35|739|387|1|
36|583|357|2|
37|545|355|2|
38|949|302|4|
3|931|400|3|
39|841|467|3|
40|955|470|4|
41|859|384|2|
42|56|204|1|
43|964|498|6|
44|802|340|2|
45|993|292|2|
46|745|440|4|
47|207|490|2|
4|770|237|1|
48|442|473|4|
49|697|498|6|
50|701|222|1|
51|75|438|2|
52|809|410|3|
53|673|117|1|
54|581|410|3|
55|996|430|4|
56|983|421|6|
5|737|494|8|
57|648|476|3|
58|550|111|2|
59|410|334|2|
60|678|290|2|
61|878|287|6|
62|584|248|5|
63|998|442|2|
64|846|424|4|
65|704|391|2|
66|772|106|2|
6|743|421|4|
67|922|481|3|
68|283|479|2|
69|974|427|3|
70|674|169|2|
71|552|481|2|
72|994|466|3|
73|821|482|3|
74|293|316|2|
75|823|352|4|
76|535|456|3|
77|920|380|5|
7|832|369|3|
78|944|494|5|
79|671|231|3|
80|909|303|3|
81|450|463|3|
82|940|329|5|
83|689|449|4|
84|762|384|3|
86|817|312|4|
87|957|332|2|
8|822|294|2|
88|860|478|2|
89|867|464|2|
90|734|402|3|
91|892|383|4|
92|838|168|3|
93|748|70|1|
94|997|492|5|
95|834|304|4|
96|493|408|3|
97|301|204|1|
98|690|400|3|
9|968|265|3|
